genus,n_genomes,record_ids
suillus,48,2818; 2819; 2820; 2821; 2822; 2823; 2824; 2825; 2826; 2827; 2828; 2829; 2830; 2831; 2832; 2833; 2834; 2835; 2836; 2837; 2838; 2839; 2840; 2841; 2842; 2843; 2844; 2845; 2846; 2847; 2848; 2849; 2850; 2851; 2852; 2853; 2854; 2855; 2856; 2857; 2858; 2859; 2860; 2861; 2862; 2863; 2864; 2865
laccaria,18,1621; 1622; 1623; 1624; 1625; 1626; 1627; 1628; 1629; 1630; 1631; 1632; 1633; 1634; 1635; 1636; 1637; 1638
russula,17,2622; 2623; 2624; 2625; 2626; 2627; 2628; 2629; 2630; 2631; 2632; 2633; 2634; 2635; 2636; 2637; 2638
lactarius,13,1651; 1652; 1653; 1654; 1655; 1656; 1657; 1658; 1659; 1660; 1661; 1662; 1663
pisolithus,12,2393; 2394; 2395; 2396; 2397; 2398; 2399; 2400; 2401; 2402; 2403; 2404
tuber,10,3076; 3077; 3078; 3079; 3080; 3081; 3082; 3083; 3084; 3085
amanita,7,64; 65; 66; 67; 68; 69; 70
cortinarius,7,976; 977; 978; 979; 980; 981; 982
rhizopogon,5,2577; 2578; 2579; 2580; 2581
boletus,4,523; 524; 525; 526
elaphomyces,3,1170; 1171; 1172
jimgerdemannia,3,1562; 1563; 1564
paxillus,3,2207; 2208; 2209
piloderma,3,2383; 2384; 2385
scleroderma,3,2711; 2712; 2713
cenococcum,2,792; 793
hebeloma,2,1464; 1465
lactifluus,2,1664; 1665
thelephora,2,2900; 2901
tricholoma,2,3053; 3054
butyriboletus,1,542
cantharellus,1,783
choiromyces,1,838
chroogomphus,1,840
gautieria,1,1388
hydnum,1,1500
hysterangium,1,1542
leucangium,1,1728
lyophyllum,1,1815
melanogaster,1,1850
picoa,1,2379
ramaria,1,2550
sebacina,1,2719
sphaerosporella,1,2771
trichophaea,1,3056
truncocolumella,1,3075
tylopilus,1,3102
wilcoxina,1,3164
xerocomellus,1,3172
xerocomus,1,3173
