host_genus,fungal_genus,n_occurrences
Betula,Russula,354
Picea,Cortinarius,298
Picea,Tomentella,215
Populus,Cortinarius,180
Pinus,Cortinarius,155
Abies,Cortinarius,150
Betula,Inocybe,150
Betula,Cortinarius,120
Abies,Tomentella,109
Populus,Tomentella,108
Picea,Russula,100
Picea,Piloderma,98
Pinus,Piloderma,82
Populus,Russula,67
Populus,Piloderma,64
Picea,Inocybe,63
Picea,Amphinema,62
Pinus,Tomentella,59
Populus,Inocybe,56
Betula,Tomentella,53
Abies,Russula,52
Pinus,Russula,51
Abies,Piloderma,48
Betula,Lactarius,46
Picea,Sebacina,39
Pinus,Amphinema,39
Pinus,Suillus,35
Salix,Tomentella,35
Picea,Lactarius,33
Betula,Piloderma,32
Picea,Suillus,32
Abies,Inocybe,31
Abies,Amphinema,30
Picea,Trichophaea,30
Pinus,Lactarius,29
Salix,Inocybe,28
Picea,Tylospora,27
Dryas,Tomentella,26
Pseudotsuga,Rhizopogon,26
Picea,Tomentellopsis,24
Populus,Sebacina,24
Picea,Hebeloma,23
Picea,Hygrophorus,23
Picea,Clavulina,22
Quercus,Russula,21
Dryas,Inocybe,20
Abies,Sebacina,19
Abies,Lactarius,18
Picea,Tricholoma,18
Pinus,Tylospora,18
Pinus,Hygrophorus,17
Pinus,Rhizopogon,17
Pinus,Trichophaea,17
Abies,Suillus,16
Picea,Amanita,16
Picea,Pseudotomentella,16
Populus,Hygrophorus,16
Pinus,Pseudotomentella,15
Abies,Hebeloma,13
Abies,Tylospora,13
Betula,Polyozellus,13
Betula,Sebacina,12
Picea,Thaxterogaster,12
Picea,Thelephora,12
Abies,Hygrophorus,11
Abies,Tomentellopsis,11
Abies,Trichophaea,11
Dryas,Sebacina,11
Pinus,Tomentellopsis,11
Abies,Clavulina,10
Pinus,Inocybe,10
Populus,Hebeloma,10
Salix,Thelephora,10
Abies,Tricholoma,9
Picea,Polyozellus,9
Picea,Tuber,9
Pinus,Clavulina,9
Pinus,Sebacina,9
Pinus,Tricholoma,9
Salix,Cortinarius,9
Salix,Sebacina,9
Abies,Pseudotomentella,8
Abies,Thaxterogaster,8
Betula,Hygrophorus,8
Picea,Humaria,8
Picea,Phaeohelotium,8
Picea,Scleroderma,8
Populus,Lactarius,8
Populus,Phaeohelotium,8
Populus,Thaxterogaster,8
Populus,Tomentellopsis,8
Populus,Tricholoma,8
Quercus,Amanita,8
Abies,Amanita,7
Pinus,Hebeloma,7
Pinus,Thaxterogaster,7
Betula,Tomentellopsis,6
Picea,Alpova,6
Picea,Elaphomyces,6
Picea,Leccinum,6
Picea,Phellodon,6
Pinus,Albatrellus,6
Pinus,Amanita,6
Populus,Amanita,6
Populus,Clavulina,6
Populus,Humaria,6
Populus,Leccinum,6
Abies,Thelephora,5
Betula,Hebeloma,5
Dryas,Cortinarius,5
Picea,Hydnotrya,5
Pinus,Hydnum,5
Pinus,Lyophyllum,5
Pinus,Wilcoxina,5
Populus,Tuber,5
Salix,Tuber,5
Abies,Humaria,4
Abies,Phaeohelotium,4
Abies,Polyozellus,4
Abies,Scleroderma,4
Abies,Tuber,4
Betula,Phaeohelotium,4
Betula,Thaxterogaster,4
Betula,Tricholoma,4
Picea,Helvellosebacina,4
Picea,Hydnellum,4
Picea,Hymenogaster,4
Picea,Otidea,4
Picea,Tylopilus,4
Pinus,Phellodon,4
Pinus,Polyozellus,4
Pinus,Scleroderma,4
Pinus,Thelephora,4
Pinus,Tuber,4
Populus,Amphinema,4
Populus,Elaphomyces,4
Populus,Helvellosebacina,4
Populus,Hymenogaster,4
Populus,Otidea,4
Populus,Pseudotomentella,4
Pseudotsuga,Tuber,4
Quercus,Sebacina,4
Quercus,Tomentella,4
Salix,Laccaria,4
Abies,Alpova,3
Abies,Leccinum,3
Abies,Phellodon,3
Betula,Amanita,3
Betula,Clavulina,3
Betula,Humaria,3
Betula,Leccinum,3
Dryas,Russula,3
Dryas,Thelephora,3
Picea,Wilcoxina,3
Pinus,Hydnotrya,3
Pinus,Leucogaster,3
Pseudotsuga,Piloderma,3
Pseudotsuga,Tomentella,3
Quercus,Humaria,3
Quercus,Otidea,3
Salix,Myrmecocystis,3
Abies,Elaphomyces,2
Abies,Helvellosebacina,2
Abies,Hydnellum,2
Abies,Hydnotrya,2
Abies,Hymenogaster,2
Abies,Otidea,2
Abies,Tylopilus,2
Betula,Amphinema,2
Betula,Elaphomyces,2
Betula,Helvellosebacina,2
Betula,Hymenogaster,2
Betula,Otidea,2
Betula,Pseudotomentella,2
Betula,Tuber,2
Dryas,Choiromyces,2
Dryas,Mallocybe,2
Picea,Boletopsis,2
Picea,Boletus,2
Picea,Craterellus,2
Picea,Geopora,2
Picea,Hydnum,2
Picea,Hysterangium,2
Picea,Leucophleps,2
Picea,Lyophyllum,2
Picea,Paxillus,2
Picea,Sarcodon,2
Pinus,Alpova,2
Pinus,Gautieria,2
Pinus,Humaria,2
Pinus,Hydnellum,2
Pinus,Tylopilus,2
Populus,Alpova,2
Populus,Geopora,2
Populus,Hydnum,2
Populus,Lyophyllum,2
Populus,Thelephora,2
Populus,Trichophaea,2
Populus,Tylospora,2
Pseudotsuga,Inocybe,2
Pseudotsuga,Russula,2
Pseudotsuga,Suillus,2
Pseudotsuga,Wilcoxina,2
Quercus,Cortinarius,2
Quercus,Genea,2
Quercus,Helvella,2
Quercus,Trichophaea,2
Salix,Geopora,2
Salix,Hebeloma,2
Salix,Russula,2
Abies,Boletopsis,1
Abies,Boletus,1
Abies,Craterellus,1
Abies,Geopora,1
Abies,Hydnum,1
Abies,Hysterangium,1
Abies,Leucophleps,1
Abies,Lyophyllum,1
Abies,Paxillus,1
Abies,Sarcodon,1
Abies,Wilcoxina,1
Alnus,Tomentella,1
Betula,Alpova,1
Betula,Geopora,1
Betula,Hydnum,1
Betula,Laccaria,1
Betula,Lyophyllum,1
Betula,Thelephora,1
Betula,Trichophaea,1
Betula,Tylospora,1
Dryas,Clavulina,1
Dryas,Hebeloma,1
Dryas,Lactarius,1
Picea,Sphaerosporella,1
Pinus,Boletopsis,1
Pinus,Boletus,1
Pinus,Cenococcum,1
Pinus,Chroogomphus,1
Pinus,Craterellus,1
Pinus,Geopora,1
Pinus,Gomphidius,1
Pinus,Hysterangium,1
Pinus,Leucophleps,1
Pinus,Otidea,1
Pinus,Paxillus,1
Pinus,Phaeohelotium,1
Pinus,Sarcodon,1
Pseudotsuga,Coltricia,1
Pseudotsuga,Cortinarius,1
Pseudotsuga,Hebeloma,1
Pseudotsuga,Lactarius,1
Pseudotsuga,Otidea,1
Pseudotsuga,Sebacina,1
Quercus,Gyroporus,1
Quercus,Inocybe,1
Quercus,Scleroderma,1
Quercus,Thelephora,1
Salix,Pseudotomentella,1
Tsuga,Sphaerosporella,1
