ecozone,gf_locations,gb_locations,gf_sites,gb_sites,total_locations,total_sites,area_km2,density_total,density_gf
Arctic Cordillera,1,1,1,1,2,2,340728.94172813854,0.05869768473016196,0.02934884236508098
Atlantic Maritime,104,52,91,46,156,137,282968.65558368684,5.512978095691013,3.6753187304606754
Boreal Cordillera,6,10,6,10,16,16,470758.3166574667,0.3398771606119478,0.12745393522948043
Boreal Plains,20,18,19,18,38,37,740741.0859991385,0.5129997608914081,0.2699998741533727
Boreal Shield,222,445,221,368,667,589,2079895.2354700286,3.2068922925787025,1.0673614527023567
Hudson Plains,0,0,0,0,0,0,448432.49921888835,0,0
Mixedwood Plains,58,329,57,275,387,332,169258.45548309345,22.864441182299213,3.426712115176626
Montane Cordillera,17,43,17,42,60,59,489976.8334068904,1.2245476910165327,0.346955179121351
Northern Arctic,0,13,0,13,13,13,2838181.542204505,0.04580397626679825,0
Pacific Maritime,2,207,2,182,209,184,251087.39356782948,8.323795035274845,0.07965354100741479
Prairies,1,1,1,1,2,2,466980.73660208966,0.042828319098399625,0.021414159549199813
Southern Arctic,0,2,0,2,2,2,1683284.1391316734,0.011881535348106502,0
Taiga Cordillera,0,0,0,0,0,0,266971.6842054339,0,0
Taiga Plains,46,1,45,1,47,46,657947.1912789493,0.7143430448975571,0.6991442567082473
Taiga Shield,9,15,9,15,24,24,1453301.7951925334,0.1651411983346548,0.06192794937549554
