genus,genus_lower,observed_in_canada,ectomycorrhiza_lineage_template,ectomycorrhiza_exploration_type_template
Indoporus,indoporus,FALSE,NA,NA
Ionosporus,ionosporus,FALSE,NA,NA
Longistriata,longistriata,FALSE,NA,NA
Spongispora,spongispora,FALSE,NA,NA
Geomorium,geomorium,FALSE,/tuber-helvella,unknown
Cenococcum,cenococcum,TRUE,/cenococcum,short-distance_coarse
Elaphomyces,elaphomyces,TRUE,/elaphomyces,short-distance_delicate
Pseudotulostoma,pseudotulostoma,FALSE,/elaphomyces,short-distance_delicate
Phaeohelotium,phaeohelotium,TRUE,/phaeohelotium,short-distance_delicate
Leotia,leotia,TRUE,/leotia,short-distance_delicate
Fischerula,fischerula,FALSE,/leucangium,contact
Gymnohydnotrya,gymnohydnotrya,FALSE,/tuber-helvella,unknown
Hydnotrya,hydnotrya,TRUE,/hydnotrya,contact
Kalapuya,kalapuya,FALSE,/leucangium,contact
Leucangium,leucangium,TRUE,/leucangium,contact
Acetabula,acetabula,FALSE,/tuber-helvella,contact
Balsamia,balsamia,TRUE,/tuber-helvella,contact
Barssia,barssia,TRUE,/tuber-helvella,contact
Helvella,helvella,TRUE,/tuber-helvella,contact
Underwoodia,underwoodia,FALSE,/tuber-helvella,unknown
Wynnella,wynnella,FALSE,/tuber-helvella,contact
Amylascus,amylascus,FALSE,/pachyphloeus-amylascus,short-distance_coarse
Cazia,cazia,FALSE,/terfezia-peziza_depressa,short-distance_coarse
Delastria,delastria,TRUE,/marcelleina-peziza_gerardii,unknown
Galactinia,galactinia,FALSE,/galactinia,contact
Glischroderma,glischroderma,FALSE,/pachyphloeus-amylascus,short-distance_coarse
Hydnobolites,hydnobolites,TRUE,/marcelleina-peziza_gerardii,unknown
Hydnoplicata,hydnoplicata,FALSE,/terfezia-peziza_depressa,short-distance_coarse
Hydnotryopsis,hydnotryopsis,FALSE,/sarcosphaera-hydnotryopsis,unknown
Imaia,imaia,FALSE,/leucangium,contact
Luteoamylascus,luteoamylascus,FALSE,/pachyphloeus-amylascus,short-distance_coarse
Marcelleina,marcelleina,FALSE,/marcelleina-peziza_gerardii,unknown
Muciturbo,muciturbo,FALSE,/terfezia-peziza_depressa,short-distance_coarse
Mycoclelandia,mycoclelandia,FALSE,/terfezia-peziza_depressa,short-distance_coarse
Pachyphlodes,pachyphlodes,TRUE,/pachyphloeus-amylascus,short-distance_coarse
Pachyphloeus,pachyphloeus,FALSE,/pachyphloeus-amylascus,short-distance_coarse
Plicariella,plicariella,FALSE,/pachyphloeus-amylascus,short-distance_coarse
Ruhlandiella,ruhlandiella,FALSE,/terfezia-peziza_depressa,short-distance_coarse
Sarcosphaera,sarcosphaera,TRUE,/sarcosphaera-hydnotryopsis,short-distance_delicate
Scabropezia,scabropezia,FALSE,/pachyphloeus-amylascus,short-distance_coarse
Sphaerozone,sphaerozone,FALSE,uncertain,unknown
Stouffera,stouffera,FALSE,/marcelleina-peziza_gerardii,unknown
Temperantia,temperantia,FALSE,/marcelleina-peziza_gerardii,unknown
Terfezia,terfezia,FALSE,/terfezia-peziza_depressa,short-distance_coarse
