lat,lon,source
62.54,-116.456,GlobalFungi
66.9,-135.233,GlobalFungi
61.528,-117.224,GlobalFungi
43.132,-79.388,GlobalFungi
43.13,-79.39,GlobalFungi
48.261,-78.539,GlobalFungi
47.382,-73.193,GlobalFungi
46.42,-83.37,GlobalFungi
46.537,-72.444,GlobalFungi
47.976,-78.975,GlobalFungi
46.965,-72.33,GlobalFungi
47.894,-78.984,GlobalFungi
48.289,-77.993,GlobalFungi
47.455,-72.939,GlobalFungi
47.698,-79.255,GlobalFungi
47.892,-78.875,GlobalFungi
47.57,-82.85,GlobalFungi
47.982,-78.964,GlobalFungi
47.63,-73.021,GlobalFungi
47.894,-78.971,GlobalFungi
47.406,-72.855,GlobalFungi
46.544,-72.329,GlobalFungi
47.47,-73.215,GlobalFungi
51.29,-117.351,GlobalFungi
46.75,-82.25,GlobalFungi
51.328,-117.589,GlobalFungi
47.446,-61.753,GlobalFungi
46.494,-72.97,GlobalFungi
47.45,-61.752,GlobalFungi
48.393,-79.19,GlobalFungi
47.456,-61.746,GlobalFungi
54.333,-123.267,GlobalFungi
45.39,-63.43,GlobalFungi
47.386,-73.416,GlobalFungi
46.552,-72.8,GlobalFungi
51.078,-118.105,GlobalFungi
47.447,-72.948,GlobalFungi
47.238,-73.259,GlobalFungi
47.894,-78.883,GlobalFungi
47.421,-78.956,GlobalFungi
47.988,-78.949,GlobalFungi
47.788,-72.972,GlobalFungi
46.523,-73.19,GlobalFungi
48.865,-78.919,GlobalFungi
48.311,-78.939,GlobalFungi
46.325,-72.767,GlobalFungi
46.604,-72.7,GlobalFungi
46.438,-72.807,GlobalFungi
47.574,-79.332,GlobalFungi
42.83,-80.44,GlobalFungi
62.487,-116.65,GlobalFungi
48.95,-57.93,GlobalFungi
48.948,-57.934,GlobalFungi
60.53,-134.35,GlobalFungi
48.403,-79.318,GlobalFungi
59.664,-112.197,GlobalFungi
48.27,-78.967,GlobalFungi
46.759,-72.536,GlobalFungi
47.827,-79.287,GlobalFungi
49.07,-89.39,GlobalFungi
48.385,-79.169,GlobalFungi
47.83,-79.263,GlobalFungi
47.569,-79.25,GlobalFungi
46.314,-73.041,GlobalFungi
48.234,-78.583,GlobalFungi
48.359,-78.983,GlobalFungi
48.523,-79.433,GlobalFungi
49.08,-89.38,GlobalFungi
48.575,-78.995,GlobalFungi
48.361,-79.126,GlobalFungi
47.668,-72.311,GlobalFungi
48.385,-79.171,GlobalFungi
48.045,-78.941,GlobalFungi
48.38,-79.154,GlobalFungi
47.805,-79.41,GlobalFungi
47.487,-73.198,GlobalFungi
47.566,-78.588,GlobalFungi
48.357,-79.116,GlobalFungi
48.779,-78.401,GlobalFungi
47.815,-79.394,GlobalFungi
47.545,-72.967,GlobalFungi
48.083,-78.49,GlobalFungi
47.894,-78.978,GlobalFungi
47.894,-78.977,GlobalFungi
48.532,-79.036,GlobalFungi
47.93,-78.326,GlobalFungi
47.429,-78.969,GlobalFungi
54.369,-122.608,GlobalFungi
54.35,-122.61,GlobalFungi
47.552,-72.968,GlobalFungi
47.893,-78.855,GlobalFungi
47.901,-78.978,GlobalFungi
47.628,-72.347,GlobalFungi
46.505,-72.971,GlobalFungi
46.534,-73.125,GlobalFungi
47.236,-73.347,GlobalFungi
47.555,-73.02,GlobalFungi
48.382,-79.16,GlobalFungi
47.9,-78.979,GlobalFungi
56.1,-110.9,GlobalFungi
46.314,-73.109,GlobalFungi
48.478,-79.026,GlobalFungi
46.88,-72.279,GlobalFungi
47.717,-72.517,GlobalFungi
47.632,-72.347,GlobalFungi
48.23,-78.44,GlobalFungi
48.224,-78.483,GlobalFungi
