trait,value,n_genera,pct_genera
fruitbody_type_template,agaricoid,55,44.4
fruitbody_type_template,gasteroid-hypogeous,28,22.6
fruitbody_type_template,apothecium_(hymenium_on_surface),15,12.1
fruitbody_type_template,corticioid,11,8.9
fruitbody_type_template,clavarioid,6,4.8
fruitbody_type_template,gasteroid,4,3.2
fruitbody_type_template,polyporoid,2,1.6
fruitbody_type_template,zygosporangium,2,1.6
fruitbody_type_template,None,1,0.8
hymenium_type_template,closed,34,27.4
hymenium_type_template,poroid,32,25.8
hymenium_type_template,smooth,31,25
hymenium_type_template,gills,22,17.7
hymenium_type_template,hydnoid,4,3.2
hymenium_type_template,none,1,0.8
ectomycorrhiza_exploration_type_template,long-distance,39,31.5
ectomycorrhiza_exploration_type_template,short-distance_delicate,19,15.3
ectomycorrhiza_exploration_type_template,medium-distance_smooth,15,12.1
ectomycorrhiza_exploration_type_template,short-distance_coarse,15,12.1
ectomycorrhiza_exploration_type_template,contact,14,11.3
ectomycorrhiza_exploration_type_template,mat,9,7.3
ectomycorrhiza_exploration_type_template,medium-distance_fringe,8,6.5
ectomycorrhiza_exploration_type_template,(undocumented),5,4
secondary_lifestyle,(undocumented),121,97.6
secondary_lifestyle,mycoparasite,1,0.8
secondary_lifestyle,root-associated,1,0.8
secondary_lifestyle,soil_saprotroph,1,0.8
endophytic_interaction_capability_template,(undocumented),122,98.4
endophytic_interaction_capability_template,root-associated,1,0.8
endophytic_interaction_capability_template,root_endophyte,1,0.8
specific_hosts,(undocumented),118,95.2
specific_hosts,Pinaceae,5,4
specific_hosts,Scleroderma,1,0.8
