genus,n_locations,dataset
Cortinarius,443,GlobalFungi
Tomentella,387,GlobalFungi
Piloderma,358,GlobalFungi
Inocybe,350,GlobalFungi
Amphinema,340,GlobalFungi
Tricholoma,328,GlobalFungi
Russula,325,GlobalFungi
Sebacina,297,GlobalFungi
Lactarius,288,GlobalFungi
Tylospora,288,GlobalFungi
Hygrophorus,279,GlobalFungi
Amanita,276,GlobalFungi
Elaphomyces,242,GlobalFungi
Clavulina,226,GlobalFungi
Suillus,194,GlobalFungi
Thelephora,184,GlobalFungi
Polyozellus,175,GlobalFungi
Hydnotrya,160,GlobalFungi
Trichophaea,154,GlobalFungi
Hebeloma,150,GlobalFungi
Leccinum,146,GlobalFungi
Laccaria,136,GlobalFungi
Pseudotomentella,133,GlobalFungi
Thaxterogaster,123,GlobalFungi
Hydnellum,121,GlobalFungi
Tomentellopsis,117,GlobalFungi
Tuber,108,GlobalFungi
Rhizopogon,96,GlobalFungi
Lyophyllum,82,GlobalFungi
Genea,78,GlobalFungi
Xerocomus,78,GlobalFungi
Paxillus,76,GlobalFungi
Hymenogaster,72,GlobalFungi
Hydnum,71,GlobalFungi
Tylopilus,70,GlobalFungi
Alpova,65,GlobalFungi
Phaeohelotium,64,GlobalFungi
Scleroderma,59,GlobalFungi
Lactifluus,58,GlobalFungi
Ramaria,57,GlobalFungi
Wilcoxina,56,GlobalFungi
Phellodon,53,GlobalFungi
Gautieria,46,GlobalFungi
Alnicola,44,GlobalFungi
Cenococcum,38,GlobalFungi
Geopora,34,GlobalFungi
Naucoria,34,GlobalFungi
Otidea,34,GlobalFungi
Helvella,32,GlobalFungi
Helvellosebacina,30,GlobalFungi
Humaria,30,GlobalFungi
Craterellus,28,GlobalFungi
Albatrellus,24,GlobalFungi
Chroogomphus,24,GlobalFungi
Boletus,21,GlobalFungi
Leotia,20,GlobalFungi
Hysterangium,19,GlobalFungi
Byssoporia,17,GlobalFungi
Leucophleps,15,GlobalFungi
Byssocorticium,14,GlobalFungi
Pustularia,14,GlobalFungi
Tretomyces,14,GlobalFungi
Harrya,13,GlobalFungi
Boletopsis,12,GlobalFungi
Coltricia,12,GlobalFungi
Mallocybe,11,GlobalFungi
Gomphidius,10,GlobalFungi
Phaeocollybia,10,GlobalFungi
Pulvinula,10,GlobalFungi
Strobilomyces,10,GlobalFungi
Hydnobolites,9,GlobalFungi
Jimgerdemannia,9,GlobalFungi
Catathelasma,8,GlobalFungi
Fuscoboletinus,8,GlobalFungi
Chamonixia,7,GlobalFungi
Destuntzia,6,GlobalFungi
Gymnomyces,5,GlobalFungi
Membranomyces,5,GlobalFungi
Pachyphlodes,5,GlobalFungi
Truncocolumella,5,GlobalFungi
Gyroporus,4,GlobalFungi
Leucogaster,4,GlobalFungi
Myrmecocystis,4,GlobalFungi
Sarcosphaera,4,GlobalFungi
Cantharellus,3,GlobalFungi
Delastria,3,GlobalFungi
Gilkeya,3,GlobalFungi
Leucangium,3,GlobalFungi
Rhodoscypha,3,GlobalFungi
Sarcodon,3,GlobalFungi
Choiromyces,2,GlobalFungi
Tarzetta,2,GlobalFungi
Astraeus,1,GlobalFungi
Balsamia,1,GlobalFungi
Butyriboletus,1,GlobalFungi
Densospora,1,GlobalFungi
Octaviania,1,GlobalFungi
Parascutellinia,1,GlobalFungi
Picoa,1,GlobalFungi
Pisolithus,1,GlobalFungi
Retiboletus,1,GlobalFungi
Sphaerosporella,1,GlobalFungi
Xerocomellus,1,GlobalFungi
Russula,397,GenBank
Cortinarius,243,GenBank
Amanita,178,GenBank
Tricholoma,161,GenBank
Inocybe,118,GenBank
Lactarius,76,GenBank
Tomentella,43,GenBank
Thaxterogaster,31,GenBank
Hebeloma,28,GenBank
Hygrophorus,25,GenBank
Ramaria,25,GenBank
Hydnum,22,GenBank
Piloderma,22,GenBank
Suillus,21,GenBank
Thelephora,21,GenBank
Polyozellus,16,GenBank
Hydnellum,14,GenBank
Sebacina,12,GenBank
Cantharellus,11,GenBank
Helvella,11,GenBank
Boletus,10,GenBank
Laccaria,10,GenBank
Xerocomellus,10,GenBank
Mallocybe,9,GenBank
Phellodon,9,GenBank
Rhizopogon,9,GenBank
Gomphidius,8,GenBank
Leccinum,8,GenBank
Paxillus,8,GenBank
Tuber,8,GenBank
Alnicola,7,GenBank
Amphinema,5,GenBank
Aureoboletus,5,GenBank
Geopora,5,GenBank
Clavulina,4,GenBank
Lactifluus,4,GenBank
Naucoria,4,GenBank
Catathelasma,3,GenBank
Myrmecocystis,3,GenBank
Tomentellopsis,3,GenBank
Tylospora,3,GenBank
Alpova,2,GenBank
Craterellus,2,GenBank
Elaphomyces,2,GenBank
Fuscoboletinus,2,GenBank
Lyophyllum,2,GenBank
Pseudotomentella,2,GenBank
Sarcodon,2,GenBank
Scleroderma,2,GenBank
Sphaerosporella,2,GenBank
Truncocolumella,2,GenBank
Albatrellus,1,GenBank
Astraeus,1,GenBank
Boletopsis,1,GenBank
Butyriboletus,1,GenBank
Caloboletus,1,GenBank
Cenococcum,1,GenBank
Choiromyces,1,GenBank
Chroogomphus,1,GenBank
Coltricia,1,GenBank
Gautieria,1,GenBank
Gymnomyces,1,GenBank
Helvellosebacina,1,GenBank
Humaria,1,GenBank
Hydnotrya,1,GenBank
Hysterangium,1,GenBank
Leucangium,1,GenBank
Neoalbatrellus,1,GenBank
Otidea,1,GenBank
Phaeocollybia,1,GenBank
Rubroboletus,1,GenBank
Tarzetta,1,GenBank
Tylopilus,1,GenBank
Xerocomus,1,GenBank
Russula,722,Combined
Cortinarius,686,Combined
Tricholoma,489,Combined
Inocybe,468,Combined
Amanita,454,Combined
Tomentella,430,Combined
Piloderma,380,Combined
Lactarius,364,Combined
Amphinema,345,Combined
Sebacina,309,Combined
Hygrophorus,304,Combined
Tylospora,291,Combined
Elaphomyces,244,Combined
Clavulina,230,Combined
Suillus,215,Combined
Thelephora,205,Combined
Polyozellus,191,Combined
Hebeloma,178,Combined
Hydnotrya,161,Combined
Leccinum,154,Combined
Thaxterogaster,154,Combined
Trichophaea,154,Combined
Laccaria,146,Combined
Hydnellum,135,Combined
Pseudotomentella,135,Combined
Tomentellopsis,120,Combined
Tuber,116,Combined
Rhizopogon,105,Combined
Hydnum,93,Combined
Lyophyllum,84,Combined
Paxillus,84,Combined
Ramaria,82,Combined
Xerocomus,79,Combined
Genea,78,Combined
Hymenogaster,72,Combined
Tylopilus,71,Combined
Alpova,67,Combined
Phaeohelotium,64,Combined
Lactifluus,62,Combined
Phellodon,62,Combined
Scleroderma,61,Combined
Wilcoxina,56,Combined
Alnicola,51,Combined
Gautieria,47,Combined
Helvella,43,Combined
Cenococcum,39,Combined
Geopora,39,Combined
Naucoria,38,Combined
Otidea,35,Combined
Boletus,31,Combined
Helvellosebacina,31,Combined
Humaria,31,Combined
Craterellus,30,Combined
Albatrellus,25,Combined
Chroogomphus,25,Combined
Hysterangium,20,Combined
Leotia,20,Combined
Mallocybe,20,Combined
Gomphidius,18,Combined
Byssoporia,17,Combined
Leucophleps,15,Combined
Byssocorticium,14,Combined
Cantharellus,14,Combined
Pustularia,14,Combined
Tretomyces,14,Combined
Boletopsis,13,Combined
Coltricia,13,Combined
Harrya,13,Combined
Catathelasma,11,Combined
Phaeocollybia,11,Combined
Xerocomellus,11,Combined
Fuscoboletinus,10,Combined
Pulvinula,10,Combined
Strobilomyces,10,Combined
Hydnobolites,9,Combined
Jimgerdemannia,9,Combined
Chamonixia,7,Combined
Myrmecocystis,7,Combined
Truncocolumella,7,Combined
Destuntzia,6,Combined
Gymnomyces,6,Combined
Aureoboletus,5,Combined
Membranomyces,5,Combined
Pachyphlodes,5,Combined
Sarcodon,5,Combined
Gyroporus,4,Combined
Leucangium,4,Combined
Leucogaster,4,Combined
Sarcosphaera,4,Combined
Choiromyces,3,Combined
Delastria,3,Combined
Gilkeya,3,Combined
Rhodoscypha,3,Combined
Sphaerosporella,3,Combined
Tarzetta,3,Combined
Astraeus,2,Combined
Butyriboletus,2,Combined
Balsamia,1,Combined
Caloboletus,1,Combined
Densospora,1,Combined
Neoalbatrellus,1,Combined
Octaviania,1,Combined
Parascutellinia,1,Combined
Picoa,1,Combined
Pisolithus,1,Combined
Retiboletus,1,Combined
Rubroboletus,1,Combined
