species,n_locations,dataset
Tylospora_asterophora,280,GlobalFungi
Piloderma_sphaerosporum,276,GlobalFungi
Amanita_fulva,183,GlobalFungi
Clavulina_coralloides,179,GlobalFungi
Tricholoma_portentosum,161,GlobalFungi
Piloderma_olivaceum,159,GlobalFungi
Amanita_muscaria,152,GlobalFungi
Russula_decolorans,149,GlobalFungi
Cortinarius_alpinus,143,GlobalFungi
Hygrophorus_albicastaneus,131,GlobalFungi
Russula_adusta,130,GlobalFungi
Hygrophorus_hypothejus,125,GlobalFungi
Tomentella_stuposa,122,GlobalFungi
Polyozellus_umbrinus,119,GlobalFungi
Russula_emetica,114,GlobalFungi
Tomentella_coerulea,113,GlobalFungi
Lactarius_mammosus,112,GlobalFungi
Lactarius_tabidus,112,GlobalFungi
Amanita_flavoconia,110,GlobalFungi
Lactarius_camphoratus,105,GlobalFungi
Cortinarius_acutovelatus,103,GlobalFungi
Inocybe_caprimulgi,103,GlobalFungi
Lactarius_vietus,103,GlobalFungi
Cortinarius_casimiri,101,GlobalFungi
Cortinarius_comptulus,99,GlobalFungi
Cortinarius_illuminoides,99,GlobalFungi
Cortinarius_raphanoides,96,GlobalFungi
Elaphomyces_borealis,95,GlobalFungi
Tricholoma_saponaceum,92,GlobalFungi
Tomentella_terrestris,91,GlobalFungi
Cortinarius_armillatus,88,GlobalFungi
Cortinarius_emunctus,88,GlobalFungi
Tricholoma_columbetta,88,GlobalFungi
Lactarius_vinaceorufescens,87,GlobalFungi
Tomentella_badia,87,GlobalFungi
Elaphomyces_muricatus,86,GlobalFungi
Cortinarius_dolabratus,83,GlobalFungi
Tricholoma_fulvum,83,GlobalFungi
Laccaria_populina,79,GlobalFungi
Paxillus_involutus,76,GlobalFungi
Tomentellopsis_echinospora,76,GlobalFungi
Inocybe_elysii,73,GlobalFungi
Genea_hispidula,72,GlobalFungi
Amanita_porphyria,71,GlobalFungi
Tylopilus_felleus,70,GlobalFungi
Cortinarius_clintonianus,69,GlobalFungi
Cortinarius_infractus,69,GlobalFungi
Leccinum_rotundifoliae,68,GlobalFungi
Tricholoma_vaccinum,68,GlobalFungi
Cortinarius_malachius,67,GlobalFungi
Cortinarius_modestus,66,GlobalFungi
Russula_aeruginea,65,GlobalFungi
Cortinarius_aurantiobasis,64,GlobalFungi
Cortinarius_cinnamomeus,64,GlobalFungi
Cortinarius_athabascus,63,GlobalFungi
Cortinarius_croceus,63,GlobalFungi
Cortinarius_malicorius,63,GlobalFungi
Tricholoma_virgatum,63,GlobalFungi
Elaphomyces_papillatus,61,GlobalFungi
Inocybe_occulta,61,GlobalFungi
Hebeloma_incarnatulum,60,GlobalFungi
Lyophyllum_shimeji,60,GlobalFungi
Cortinarius_junghuhnii,59,GlobalFungi
